Price,Rating,No_of_ratings,TotalReviews,RamSize (GB),RomSize (GB)
6499,4.3,27687,1913,2.0,64.0
12999,4.2,10213,748,6.0,128.0
11999,4.2,8442,1070,4.0,64.0
8999,4.4,16512,699,3.0,32.0
7499,4.4,233435,10147,2.0,32.0
17999,4.3,5156,440,8.0,128.0
8999,4.4,16512,699,3.0,32.0
8999,4.4,16512,699,3.0,32.0
7299,2.7,3,0,3.0,32.0
14999,4.2,7856,692,8.0,128.0
8699,4.3,108143,8028,4.0,64.0
8699,4.3,108143,8028,4.0,64.0
8699,4.3,108143,8028,4.0,64.0
8699,4.3,108143,8028,4.0,64.0
6335,4.2,1893,141,2.0,32.0
14999,4.5,37211,1725,4.0,64.0
14999,4.5,37211,1725,4.0,64.0
14999,4.5,37211,1725,4.0,64.0
10499,4.3,776,58,3.0,64.0
9999,4.2,5542,324,6.0,64.0
21999,4.1,14202,1467,8.0,128.0
8488,4.2,7695,484,4.0,64.0
7990,4.1,1550,103,3.0,32.0
8985,4.2,348,34,4.0,64.0
13999,4.2,7196,925,8.0,128.0
11999,4.2,11430,1103,6.0,128.0
11999,4.2,11430,1103,6.0,128.0
34999,4.0,1010,179,8.0,128.0
5499,4.3,66939,3492,2.0,32.0
5499,4.3,66939,3492,2.0,32.0
16999,4.2,30870,2392,6.0,128.0
21999,4.1,14202,1467,8.0,128.0
9999,4.5,52460,2270,4.0,64.0
9999,4.5,52460,2270,4.0,64.0
9999,4.5,52460,2270,4.0,64.0
15999,4.2,131824,13360,6.0,128.0
15490,4.3,22833,1669,6.0,128.0
16998,4.3,30409,1886,6.0,64.0
15999,4.2,7333,980,8.0,128.0
15490,4.3,22833,1669,6.0,128.0
29999,4.3,22516,2917,6.0,128.0
25999,4.3,4248,586,8.0,128.0
10447,4.0,548,37,6.0,128.0
22999,4.1,6637,949,6.0,128.0
16299,4.2,607,42,6.0,128.0
21499,4.4,30596,3739,6.0,128.0
6920,4.5,121209,4801,2.0,32.0
13999,4.2,12952,848,6.0,128.0
13999,4.2,12952,848,6.0,128.0
17999,4.3,12383,1095,8.0,128.0
9995,4.0,548,37,6.0,128.0
11999,4.3,30409,1886,6.0,64.0
11099,4.2,1860,131,4.0,64.0
5999,4.2,2047,262,3.0,32.0
12826,4.3,4,1,8.0,128.0
7014,4.5,121209,4801,2.0,32.0
9999,4.3,776,58,3.0,32.0
7499,4.5,3975,143,2.0,32.0
11990,4.2,253,12,4.0,64.0
10955,4.2,253,12,4.0,64.0
13958,4.1,170,12,6.0,128.0
10949,4.2,253,12,4.0,64.0
29999,4.4,2469,358,12.0,256.0
11499,4.3,101336,9764,4.0,64.0
12999,4.1,16473,2057,4.0,64.0
16990,4.3,5053,432,8.0,128.0
8579,4.2,7695,484,4.0,64.0
19698,4.3,784,58,8.0,128.0
14699,4.1,402,28,6.0,128.0
8479,4.1,293,23,4.0,64.0
11499,4.2,831,107,4.0,64.0
19298,4.3,784,58,8.0,128.0
19990,4.5,8966,505,6.0,128.0
17999,4.4,449,80,8.0,128.0
